artist_id,Ds,helpper,song_init_plays
023406156015ef87f99521f3b343f71f,2015-03-01,508,1386008.95669
023406156015ef87f99521f3b343f71f,2015-03-02,508,1428718.08858
023406156015ef87f99521f3b343f71f,2015-03-03,535,1546278.24486
023406156015ef87f99521f3b343f71f,2015-03-04,506,1690746.72332
023406156015ef87f99521f3b343f71f,2015-03-05,464,1793923.89655
023406156015ef87f99521f3b343f71f,2015-03-06,473,1685996.19873
023406156015ef87f99521f3b343f71f,2015-03-07,652,1466858.0046
023406156015ef87f99521f3b343f71f,2015-03-08,548,1771973.5073
023406156015ef87f99521f3b343f71f,2015-03-09,464,1693465.72414
023406156015ef87f99521f3b343f71f,2015-03-10,539,1609031.83488
023406156015ef87f99521f3b343f71f,2015-03-11,647,1984811.45286
023406156015ef87f99521f3b343f71f,2015-03-12,834,1588636.40048
023406156015ef87f99521f3b343f71f,2015-03-13,820,1377326.63293
023406156015ef87f99521f3b343f71f,2015-03-14,630,1313868.05556
023406156015ef87f99521f3b343f71f,2015-03-15,867,1022701.0323
023406156015ef87f99521f3b343f71f,2015-03-16,682,1340759.52933
023406156015ef87f99521f3b343f71f,2015-03-17,682,1357624.21408
023406156015ef87f99521f3b343f71f,2015-03-18,467,1610618.65525
023406156015ef87f99521f3b343f71f,2015-03-19,566,1503168.47173
023406156015ef87f99521f3b343f71f,2015-03-20,496,1757100.71169
023406156015ef87f99521f3b343f71f,2015-03-21,760,2097997.38158
023406156015ef87f99521f3b343f71f,2015-03-22,930,2259527.90968
023406156015ef87f99521f3b343f71f,2015-03-23,797,2188484.95232
023406156015ef87f99521f3b343f71f,2015-03-24,707,1787050.61386
023406156015ef87f99521f3b343f71f,2015-03-25,962,2408860.62786
023406156015ef87f99521f3b343f71f,2015-03-26,766,2515651.5718
023406156015ef87f99521f3b343f71f,2015-03-27,937,2334917.16862
023406156015ef87f99521f3b343f71f,2015-03-28,724,2224922.7058
023406156015ef87f99521f3b343f71f,2015-03-29,870,2127442.37356
023406156015ef87f99521f3b343f71f,2015-03-30,956,1840938.27092
023406156015ef87f99521f3b343f71f,2015-03-31,851,2205130.78613
023406156015ef87f99521f3b343f71f,2015-04-01,870,2010609.22414
023406156015ef87f99521f3b343f71f,2015-04-02,1154,2107843.35962
023406156015ef87f99521f3b343f71f,2015-04-03,952,2294626.06723
023406156015ef87f99521f3b343f71f,2015-04-04,777,2159572.24453
023406156015ef87f99521f3b343f71f,2015-04-05,811,2014356.60543
023406156015ef87f99521f3b343f71f,2015-04-06,897,2256958.01895
023406156015ef87f99521f3b343f71f,2015-04-07,950,2204460.77579
023406156015ef87f99521f3b343f71f,2015-04-08,966,2127219.54141
023406156015ef87f99521f3b343f71f,2015-04-09,1057,1922757.7105
023406156015ef87f99521f3b343f71f,2015-04-10,1037,1871291.081
023406156015ef87f99521f3b343f71f,2015-04-11,1048,1741629.39981
023406156015ef87f99521f3b343f71f,2015-04-12,1169,1811248.08298
023406156015ef87f99521f3b343f71f,2015-04-13,816,1984681.68382
023406156015ef87f99521f3b343f71f,2015-04-14,828,1817509.41546
023406156015ef87f99521f3b343f71f,2015-04-15,775,2110362.92387
023406156015ef87f99521f3b343f71f,2015-04-16,1003,1937547.8335
023406156015ef87f99521f3b343f71f,2015-04-17,943,2034687.14422
023406156015ef87f99521f3b343f71f,2015-04-18,915,2011450.07432
023406156015ef87f99521f3b343f71f,2015-04-19,1024,1954484.47949
023406156015ef87f99521f3b343f71f,2015-04-20,861,1857140.62021
023406156015ef87f99521f3b343f71f,2015-04-21,1028,1938444.32393
023406156015ef87f99521f3b343f71f,2015-04-22,980,1950687.44388
023406156015ef87f99521f3b343f71f,2015-04-23,822,1905611.89781
023406156015ef87f99521f3b343f71f,2015-04-24,880,1557914.59659
023406156015ef87f99521f3b343f71f,2015-04-25,670,1573106.75672
023406156015ef87f99521f3b343f71f,2015-04-26,732,1394023.40984
023406156015ef87f99521f3b343f71f,2015-04-27,668,1277430.85479
023406156015ef87f99521f3b343f71f,2015-04-28,661,1357910.75038
023406156015ef87f99521f3b343f71f,2015-04-29,666,1329992.7958
023406156015ef87f99521f3b343f71f,2015-04-30,642,1334278.04206
023406156015ef87f99521f3b343f71f,2015-05-01,537,1183242.53073
023406156015ef87f99521f3b343f71f,2015-05-02,529,1258944.9225
023406156015ef87f99521f3b343f71f,2015-05-03,581,1394602.67642
023406156015ef87f99521f3b343f71f,2015-05-04,584,1097801.35274
023406156015ef87f99521f3b343f71f,2015-05-05,529,1151843.52552
023406156015ef87f99521f3b343f71f,2015-05-06,639,1095558.10642
023406156015ef87f99521f3b343f71f,2015-05-07,606,1219732.83498
023406156015ef87f99521f3b343f71f,2015-05-08,573,1101912.43455
023406156015ef87f99521f3b343f71f,2015-05-09,507,1177248.51085
023406156015ef87f99521f3b343f71f,2015-05-10,479,1070623.92902
023406156015ef87f99521f3b343f71f,2015-05-11,478,954182.259414
023406156015ef87f99521f3b343f71f,2015-05-12,602,1099329.68272
